[HEADER]
17-10-2022
11:42:16


[DATA]
[s]	[±0.008 bar]
time	pres
0.639	0.006
0.640	0.001
0.641	0.005
0.642	0.018
0.643	0.015
0.644	-0.013
0.645	0.015
0.646	0.021
0.647	0.013
0.648	0.029
0.649	0.022
0.650	0.014
0.651	0.002
0.652	0.012
0.653	0.031
0.654	0.027
0.655	-0.002
0.656	0.011
0.657	-0.012
0.658	-0.012
0.659	-0.024
0.660	-0.030
0.661	-0.005
0.662	-0.007
0.663	-0.001
0.664	-0.001
0.665	-0.022
0.666	0.006
0.667	0.003
0.668	-0.005
0.669	-0.014
0.670	-0.018
0.671	-0.027
0.672	0.020
0.673	0.007
0.674	-0.003
0.675	-0.019
0.676	-0.015
0.677	0.008
0.678	0.010
0.679	-0.005
0.680	-0.010
0.681	-0.003
0.682	-0.012
0.683	-0.003
0.684	-0.017
0.685	-0.002
0.686	-0.020
0.687	-0.021
0.689	-0.021
0.689	-0.010
0.690	-0.012
0.691	-0.011
0.692	-0.012
0.693	0.012
0.694	0.020
0.695	0.016
0.696	0.011
0.697	0.022
0.698	0.033
0.699	0.031
0.700	0.000
0.701	0.006
0.702	0.021
0.703	-0.000
0.704	-0.020
0.705	0.003
0.706	0.006
0.707	0.014
0.708	-0.002
0.709	0.010
0.710	-0.021
0.711	0.002
0.712	-0.010
0.713	-0.002
0.714	0.029
0.715	0.030
0.717	-0.000
0.717	-0.002
0.718	0.015
0.719	0.003
0.720	0.028
0.721	-0.010
0.722	0.004
0.723	0.016
0.724	0.012
0.725	0.008
0.726	0.007
0.727	0.025
0.728	0.038
0.729	0.030
0.730	-0.006
0.731	-0.015
0.732	-0.015
0.733	-0.020
0.734	-0.002
0.735	0.009
0.736	-0.004
0.737	0.032
0.738	0.038
0.739	0.021
0.740	0.022
0.741	0.004
0.742	0.006
0.743	-0.014
0.744	-0.022
0.745	0.001
0.746	0.007
0.747	0.022
0.748	0.027
0.749	-0.001
0.750	-0.024
0.751	0.007
0.752	0.014
0.753	0.009
